Designator,Mid X,Mid Y,Rotation,Layer
J101,7.015,-7.995,270.0,bottom
J102,21.015,-7.995,270.0,bottom
J103,35.015,-7.995,270.0,bottom
J104,49.015,-7.995,270.0,bottom
J105,63.015,-7.995,270.0,bottom
J106,7.015,-23.995,270.0,bottom
J107,21.015,-23.995,270.0,bottom
J108,35.015,-23.995,270.0,bottom
J109,49.015,-23.995,270.0,bottom
J110,63.015,-23.995,270.0,bottom
J111,7.015,-39.995,270.0,bottom
J112,21.015,-39.995,270.0,bottom
J113,35.015,-39.995,270.0,bottom
J114,49.015,-39.995,270.0,bottom
J115,63.015,-39.995,270.0,bottom
J116,7.015,-55.995,270.0,bottom
J117,21.015,-55.995,270.0,bottom
J118,35.015,-55.995,270.0,bottom
J119,49.015,-55.995,270.0,bottom
J120,63.015,-55.995,270.0,bottom
U102,7.005,-8.025,0.0,top
U103,21.005,-8.025,0.0,top
U104,35.005,-8.025,0.0,top
U105,49.005,-8.025,0.0,top
U106,63.005,-8.025,0.0,top
U107,7.005,-24.025,0.0,top
U108,21.005,-24.025,0.0,top
U109,35.005,-24.025,0.0,top
U110,49.005,-24.025,0.0,top
U111,63.005,-24.025,0.0,top
U112,7.005,-40.025,0.0,top
U113,21.005,-40.025,0.0,top
U114,35.005,-40.025,0.0,top
U115,49.005,-40.025,0.0,top
U116,63.005,-40.025,0.0,top
U117,7.005,-56.025,0.0,top
U118,21.005,-56.025,0.0,top
U119,35.005,-56.025,0.0,top
U120,49.005,-56.025,0.0,top
U121,63.005,-56.025,0.0,top
